Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","107,614","111,435","115,255","119,074","122,206","125,336"
"A) October 1, 2022","111,380","115,335","119,289","123,242","126,483","129,723"
"X) October 1, 2022 – wage adjustment","112,772","116,777","120,780","124,783","128,064","131,345"
"B) October 1, 2023","116,155","120,280","124,403","128,526","131,906","135,285"
"Y) October 1, 2023 – pay line adjustment","116,736","120,881","125,025","129,169","132,566","135,961"
"C) October 1, 2024","119,071","123,299","127,526","131,752","135,217","138,680"
"Z) October 1, 2024 – wage adjustment","119,369","123,607","127,845","132,081","135,555","139,027"
"D) October 1, 2025","121,756","126,079","130,402","134,723","138,266","141,808"

# AR‑06: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","119,395","123,345","127,298","131,253","134,718","138,181"
"A) October 1, 2022","123,574","127,662","131,753","135,847","139,433","143,017"
"X) October 1, 2022 – wage adjustment","125,119","129,258","133,400","137,545","141,176","144,805"
"B) October 1, 2023","128,873","133,136","137,402","141,671","145,411","149,149"
"Y) October 1, 2023 – pay line adjustment","129,517","133,802","138,089","142,379","146,138","149,895"
"C) October 1, 2024","132,107","136,478","140,851","145,227","149,061","152,893"
"Z): October 1, 2024 – wage adjustment","132,437","136,819","141,203","145,590","149,434","153,275"
"D) October 1, 2025","135,086","139,555","144,027","148,502","152,423","156,341"

# AR‑07: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","128,822","133,096","137,391","141,687","148,831","155,977"
"A) October 1, 2022","133,331","137,754","142,200","146,646","154,040","161,436"
"X) October 1, 2022 – wage adjustment","134,998","139,476","143,978","148,479","155,966","163,454"
"B) October 1, 2023","139,048","143,660","148,297","152,933","160,645","168,358"
"Y) October 1, 2023 – pay line adjustment","139,743","144,378","149,038","153,698","161,448","169,200"
"C) October 1, 2024","142,538","147,266","152,019",156.772,"164,677","172,584"
"Z) October 1, 2024 – wage adjustment","142,894","147,634","152,399","157,164","165,089","173,015"
"D) October 1, 2025","145,752","150,587","155,447","160,307","168,391","176,475"

# EN‑ENG‑01: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Range
*(with intermediate steps of $60)
"$) October 1, 2021","56,709 to 66,461 *"
"A) October 1, 2022","58,694 to 68,787 *"
"X) October 1, 2022 – wage adjustment","59,428 to 69,647 *"
"B) October 1, 2023","61,211 to 71,736 *"
"Y) October 1, 2023 – pay line adjustment","61,517 to 72,095 *"
"C) October 1, 2024","62,747 to 73,537 *"
"Z) October 1, 2024 – wage adjustment","62,904 to 73,721 *"
"D) October 1, 2025","64,162 to 75,195 *"

# EN‑ENG‑02: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) October 1, 2021","72,427","75,166","77,704","80,246","82,795"
"A) October 1, 2022","74,962","77,797","80,424","83,055","85,693"
"X) October 1, 2022 – wage adjustment","75,899","78,769","81,429","84,093","86,764"
"B) October 1, 2023","78,176","81,132","83,872","86,616","89,367"
"Y) October 1, 2023 – pay Line adjustment","78,567","81,538","84,291","87,049","89,814"
"C) October 1, 2024","80,138","83,169","85,977","88,790","91,610"
"Z) October 1, 2024 – wage adjustment","80,338","83,377","86,192","89,012","91,839"
"D) October 1, 2025","81,945","85,045","87,916","90,792","93,676"

# EN‑ENG‑03: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) October 1, 2021","88,989","92,187","95,378","98,561","101,755","104,941","108,127"
"A) October 1, 2022","92,104","95,414","98,716","102,011","105,316","108,614","111,911"
"X) October 1, 2022 – wage adjustment","93,255","96,607","99,950","103,286","106,632","109,972","113,310"
"B) October 1, 2023","96,053","99,505","102,949","106,385","109,831","113,271","116,709"
"Y) October 1, 2023 – pay Line adjustment","96,533","100,003","103,464","106,917","110,380","113,837","117,293"
"C) October 1, 2024","98,464","102,003","105,533","109,055","112,588","116,114","119,639"
"Z) October 1, 2024 – wage adjustment","98,710","102,258","105,797","109,328","112,869","116,404","119,938"
"D) October 1, 2025","100,684","104,303","107,913","111,515","115,126","118,732","122,337"

# EN‑ENG‑04: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","104,135","107,592","111,060","114,524","117,987","121,451"
"A) October 1, 2022","107,780","111,358","114,947","118,532","122,117","125,702"
"X)October 1, 2022 – wage adjustment","109,127","112,750","116,384","120,014","123,643","127,273"
"B) October 1, 2023","112,401","116,133","119,876","123,614","127,352","131,091"
"Y) October 1, 2023 – pay line adjustment","112,963","116,714","120,475","124,232","127,989","131,746"
"C) October 1, 2024","115,222","119,048","122,885","126,717","130,549","134,381"
"Z): October 1, 2024 – wage adjustment","115,510","119,346","123,192","127,034","130,875","134,717"
"D) October 1, 2025","117,820","121,733","125,656","129,575","133,493","137,411"

# EN‑ENG‑05: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","119,286","123,298","127,330","131,362","135,403","139,443"
"A) October 1, 2022","123,461","127,613","131,787","135,960","140,142","144,324"
"X) October 1, 2022 – wage adjustment","125,004","129,208","133,434","137,660","141,894","146,128"
"B) October 1, 2023","128,754","133,084","137,437","141,790","146,151","150,512"
"Y) October 1, 2023 – pay Line adjustment","129,398","133,749","138,124","142,499","146,882","151,265"
"C) October 1, 2024","131,986","136,424","140,886","145,349","149,820","154,290"
"Z) October 1, 2024 – wage adjustment","132,316","136,765","141,238","145,712","150,195","154,676"
"D) October 1, 2025","134,962","139,500","144,063","148,626","153,199","157,770"

# EN‑ENG‑06: annual rates of pay (in dollars)
# Section: Appendix “A”
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","133,058","137,338","141,629","145,909","150,194","154,474"
"A) October 1, 2022","137,715","142,145","146,586","151,016","155,451","159,881"
"X) October 1, 2022 – wage adjustment","139,436","143,922","148,418","152,904","157,394","161,880"
"B) October 1, 2023","143,619","148,240","152,871","157,491","162,116","166,736"
"Y) October 1, 2023 – pay Line adjustment","144,337","148,981","153,635","158,278","162,927","167,570"
"C) October 1, 2024","147,224","151,961","156,708","161,444","166,186","170,921"
"Z) October 1, 2024 – wage adjustment","147,592","152,341","157,100","161,848","166,601","171,348"
"D) October 1, 2025","150,544","155,388","160,242","165,085","169,933","174,775"

# EN‑SUR‑01: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Range / Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
*(with intermediate steps of $60)
"$) October 1, 2021","57,491 to 66,803 *","70,507","73,145","75,794","78,618","81,445"
"A) October 1, 2022","59,503 to 69,141 *","72,975","75,705","78,447","81,370","84,296"
"X) October 1, 2022 – wage adjustment","60,247 to 70,005 *","73,887","76,651","79,428","82,387","85,350"
"B) October 1, 2023","62,054 to 72,105 *","76,104","78,951","81,811","84,859","87,911"
"Y) October 1, 2023 – pay line adjustment","62,364 to 72,466 *","76,485","79,346","82,220","85,283","88,351"
"C) October 1, 2024","63,611 to 73,915 *","78,015","80,933","83,864","86,989","90,118"
"Z) October 1, 2024 – wage adjustment","63,770 to 74,100 *","78,210","81,135","84,074","87,206","90,343"
"D) October 1, 2025","65,045 to 75,582 *","79,774","82,758","85,755","88,950","92,150"

# EN‑SUR‑02: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) October 1, 2021","88,701","91,896","95,076","98,255","101,437","104,615","107,795"
"A) October 1, 2022","91,806","95,112","98,404","101,694","104,987","108,277","111,568"
"X) October 1, 2022 – wage adjustment","92,954","96,301","99,634","102,965","106,299","109,630","112,963"
"B) October 1, 2023","95,743","99,190","102,623","106,054","109,488","112,919","116,352"
"Y) October 1, 2023 – pay line adjustment","96,222","99,686","103,136","106,584","110,035","113,484","116,934"
"C) October 1, 2024","98,146","101,680","105,199","108,716","112,236","115,754","119,273"
"Z) October 1, 2024 – wage adjustment","98,391","101,934","105,462","108,988","112,517","116,043","119,571"
"D) October 1, 2025","100,359","103,973","107,571","111,168","114,767","118,364","121,962"

# EN‑SUR‑03: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) October 1, 2021","97,626","100,181","102,735","105,292","107,854","110,413","115,082","118,535"
"A) October 1, 2022","101,043","103,687","106,331","108,977","111,629","114,277","119,110","122,684"
"X) October 1, 2022 – wage adjustment","102,306","104,983","107,660","110,339","113,024","115,705","120,599","124,218"
"B) October 1, 2023","105,375","108,132","110,890","113,649","116,415","119,176","124,217","127,945"
"Y) October 1, 2023 – pay line adjustment","105,902","108,673","111,444","114,217","116,997","119,772","124,838","128,585"
"C) October 1, 2024","108,020","110,846","113,673","116,501","119,337","122,167","127,335","131,157"
"Z) October 1, 2024 – wage adjustment","108,290","111,123","113,957","116,792","119,635","122,472","127,653","131,485"
"D) October 1, 2025","110,456","113,345","116,236","119,128","122,028","124,921","130,206","134,115"

# EN‑SUR‑04: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8
"$) October 1, 2021","108,378","112,268","115,847","119,428","123,002","126,579","130,376","132,332"
"A) October 1, 2022","112,171","116,197","119,902","123,608","127,307","131,009","134,939","136,964"
"X) October 1, 2022 – wage adjustment","113,573","117,649","121,401","125,153","128,898","132,647","136,626","138,676"
"B) October 1, 2023","116,980","121,178","125,043","128,908","132,765","136,626","140,725","142,836"
"Y) October 1, 2023 – pay line adjustment","117,565","121,784","125,668","129,553","133,429","137,309","141,429","143,550"
"C) October 1, 2024","119,916","124,220","128,181","132,144","136,098","140,055","144,258","146,421"
"Z) October 1, 2024 – wage adjustment","120,216","124,531","128,501","132,474","136,438","140,405","144,619","146,787"
"D) October 1, 2025","122,620","127,022","131,071","135,123","139,167","143,213","147,511","149,723"

# EN‑SUR‑05: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) October 1, 2021","121,583","125,726","129,882","134,043","138,188","142,342","146,612"
"A) October 1, 2022","125,838","130,126","134,428","138,735","143,025","147,324","151,743"
"X) October 1, 2022 – wage adjustment","127,411","131,753","136,108","140,469","144,813","149,166","153,640"
"B) October 1, 2023","131,233","135,706","140,191","144,683","149,157","153,641","158,249"
"Y) October 1, 2023 – pay line adjustment","131,889","136,385","140,892","145,406","149,903","154,409","159,040"
"C) October 1, 2024","134,527","139,113","143,710","148,314","152,901","157,497","162,221"
"Z) October 1, 2024 – wage adjustment","134,863","139,461","144,069","148,685","153,283","157,891","162,627"
"D) October 1, 2025","137,560","142,250","146,950","151,659","156,349","161,049","165,880"

# EN‑SUR‑06: annual rates of pay (in dollars)
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) October 1, 2021","125,846","130,155","134,478","138,804","143,124"
"A) October 1, 2022","130,251","134,710","139,185","143,662","148,133"
"X) October 1, 2022 – wage adjustment","131,879","136,394","140,925","145,458","149,985"
"B) October 1, 2023","135,835","140,486","145,153","149,822","154,485"
"Y) October 1, 2023 – pay line adjustment","136,514","141,188","145,879","150,571","155,257"
"C) October 1, 2024","139,244","144,012","148,797","153,582","158,362"
"Z) October 1, 2024 – wage adjustment","139,592","144,372","149,169","153,966","158,758"
"D) October 1, 2025","142,384","147,259","152,152","157,045","161,933"

# EN‑SUR‑06: annual rates of pay (in dollars): continued
"# Section: EN, Land Survey Group annual rates of pay (in dollars)"
Effective date,Step 6,Step 7,Step 8,Step 9
"$) October 1, 2021","147,444","152,421","156,993","161,703"
"A) October 1, 2022","152,605","157,756","162,488","167,363"
"X) October 1, 2022 – wage adjustment","154,513","159,728","164,519","169,455"
"B) October 1, 2023","159,148","164,520","169,455","174,539"
"Y) October 1, 2023 – pay line adjustment","159,944","165,343","170,302","175,412"
"C) October 1, 2024","163,143","168,650","173,708","178,920"
"Z) October 1, 2024 – wage adjustment","163,551","169,072","174,142","179,367"
"D) October 1, 2025","166,822","172,453","177,625","182,954"

# SPS‑EE-01: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Range/Step 1
"$) October 1, 2021","56,709 to 66,461"
"A) October 1, 2022","58,694 to 68,787"
"X) October 1, 2022 – wage adjustment","59,428 to 69,647"
"B) October 1, 2023","61,211 to 71,736"
"Y) October 1, 2023 – pay line adjustment","61,517 to 72,095"
"C) October 1, 2024","62,747 to 73,537"
"Z) October 1, 2024 – wage adjustment","62,904 to 73,721"
"D) October 1, 2025","64,162 to 75,195"

# SPS‑EE-02: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) October 1, 2021","72,427","75,166","77,704","80,246","82,795"
"A) October 1, 2022","74,962","77,797","80,424","83,055","85,693"
"X) October 1, 2022 – wage adjustment","75,899","78,769","81,429","84,093","86,764"
"B) October 1, 2023","78,176","81,132","83,872","86,616","89,367"
"Y) October 1, 2023 – pay line adjustment","78,567","81,538","84,291","87,049","89,814"
"C) October 1, 2024","80,138","83,169","85,977","88,790","91,610"
"Z) October 1, 2024 – wage adjustment","80,338","83,377","86,192","89,012","91,839"
"D) October 1, 2025","81,945","85,045","87,916","90,792","93,676"

# SPS‑EE-03: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7
"$) October 1, 2021","88,989","92,187","95,378","98,561","101,755","104,941","108,127"
"A) October 1, 2022","92,104","95,414","98,716","102,011","105,316","108,614","111,911"
"X) October 1, 2022 – wage adjustment","93,255","96,607","99,950","103,286","106,632","109,972","113,310"
"B) October 1, 2023","96,053","99,505","102,949","106,385","109,831","113,271","116,709"
"Y) October 1, 2023 – pay line adjustment","96,533","100,003","103,464","106,917","110,380","113,837","117,293"
"C) October 1, 2024","98,464","102,003","105,533","109,055","112,588","116,114","119,639"
"Z) October 1, 2024 – wage adjustment","98,710","102,258","105,797","109,328","112,869","116,404","119,938"
"D) October 1, 2025","100,684","104,303","107,913","111,515","115,126","118,732","122,337"

# SPS‑EE-04: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","104,135","107,592","111,060","114,524","117,987","121,451"
"A) October 1, 2022","107,780","111,358","114,947","118,532","122,117","125,702"
"X) October 1, 2022 – wage adjustment","109,127","112,750","116,384","120,014","123,643","127,273"
"B) October 1, 2023","112,401","116,133","119,876","123,614","127,352","131,091"
"Y) October 1, 2023 – pay line adjustment","112,963","116,714","120,475","124,232","127,989","131,746"
"C) October 1, 2024","115,222","119,048","122,885","126,717","130,549","134,381"
"Z) October 1, 2024 – wage adjustment","115,510","119,346","123,192","127,034","130,875","134,717"
"D) October 1, 2025","117,820","121,733","125,656","129,575","133,493","137,411"

# SPS‑EE-05: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","119,286","123,298","127,330","131,362","135,403","139,443"
"A) October 1, 2022","123,461","127,613","131,787","135,960","140,142","144,324"
"X) October 1, 2022 – wage adjustment","125,004","129,208","133,434","137,660","141,894","146,128"
"B) October 1, 2023","128,754","133,084","137,437","141,790","146,151","150,512"
"Y) October 1, 2023 – pay line adjustment","129,398","133,749","138,124","142,499","146,882","151,265"
"C) October 1, 2024","131,986","136,424","140,886","145,349","149,820","154,290"
"Z) October 1, 2024 – wage adjustment","132,316","136,765","141,238","145,712","150,195","154,676"
"D) October 1, 2025","134,962","139,500","144,063","148,626","153,199","157,770"

# SPS‑EE-06: annual rates of pay (in dollars)
# Section: Appendix “K”: Memorandum of Agreement Between the Professional Institute of the Public Service of Canada and the Treasury Board in Respect of the Transition Measures for the Royal Canadian Mounted Police Civilian Members Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6
"$) October 1, 2021","133,058","137,338","141,629","145,909","150,194","154,474"
"A) October 1, 2022","137,715","142,145","146,586","151,016","155,451","159,881"
"X) October 1, 2022 – wage adjustment","139,436","143,922","148,418","152,904","157,394","161,880"
"B) October 1, 2023","143,619","148,240","152,871","157,491","162,116","166,736"
"Y) October 1, 2023 – pay line adjustment","144,337","148,981","153,635","158,278","162,927","167,570"
"C) October 1, 2024","147,224","151,961","156,708","161,444","166,186","170,921"
"Z) October 1, 2024 – wage adjustment","147,592","152,341","157,100","161,848","166,601","171,348"
"D) October 1, 2025","150,544","155,388","160,242","165,085","169,933","174,775"

