# EC-01 - Annual Rates of Pay (in dollars)
# Section: Appendix A
"X) June 22, 2022 - Wage Adjustment","92,867","95,700","98,828","103,327","106,889"
"B) June 22, 2023","95,653","98,571","101,793","106,427","110,096"
"Y) June 22, 2023 - Pay Line Adjustment","96,131","99,064","102,302","106,959","110,646"
"C) June 22, 2024","98,054","101,045","104,348","109,098","112,859"
"Z) June 22, 2024 - Wage Adjustment","98,299","101,298","104,609","109,371","113,141"
"D) June 22, 2025","100,265","103,324","106,701","111,558","115,404"

# EC-06 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","100,121","103,629","107,357","112,241","116,116"
"A) June 22, 2022","103,625","107,256","111,114","116,169","120,180"
"X) June 22, 2022 - Wage Adjustment","104,920","108,597","112,503","117,621","121,682"
"B) June 22, 2023","108,068","111,855","115,878","121,150","125,332"
"Y) June 22, 2023 - Pay Line Adjustment","108,608","112,414","116,457","121,756","125,959"
"C) June 22, 2024","110,780","114,662","118,786","124,191","128,478"
"Z) June 22, 2024 - Wage Adjustment","111,057","114,949","119,083","124,501","128,799"
"D) June 22, 2025","113,278","117,248","121,465","126,991","131,375"

# EC-07 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","113,124","116,540","120,071","125,538","129,869"
"A) June 22, 2022","117,083","120,619","124,273","129,932","134,414"
"X) June 22, 2022 - Wage Adjustment","118,547","122,127","125,826","131,556","136,094"
"B) June 22, 2023","122,103","125,791","129,601","135,503","140,177"
"Y) June 22, 2023 - Pay Line Adjustment","122,714","126,420","130,249","136,181","140,878"
"C) June 22, 2024","125,168","128,948","132,854","138,905","143,696"
"Z) June 22, 2024 - Wage Adjustment","125,481","129,270","133,186","139,252","144,055"
"D) June 22, 2025","127,991","131,855","135,850","142,037","146,936"

# EC-08 - Annual Rates of Pay (in dollars)
# Section: Appendix A
Effective Date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","122,991","126,397","129,972","135,882","140,571"
"A) June 22, 2022","127,296","130,821","134,521","140,638","145,491"
"X) June 22, 2022 - Wage Adjustment","128,887","132,456","136,203","142,396","147,310"
"B) June 22, 2023","132,754","136,430","140,289","146,668","151,729"
"Y) June 22, 2023 - Pay Line Adjustment","133,418","137,112","140,990","147,401","152,488"
"C) June 22, 2024","136,086","139,854","143,810","150,349","155,538"
"Z) June 22, 2024 - Wage Adjustment","136,426","140,204","144,170","150,725","155,927"
"D) June 22, 2025","139,155","143,008","147,053","153,740","159,046"

# SPS-ESS-01: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","55,567","57,508","59,527","62,441","64,597"
"A) June 22, 2022","57,512","59,521","61,610","64,626","66,858"
"X) June 22, 2022 - Wage Adjustment","58,231","60,265","62,380","65,434","67,694"
"B) June 22, 2023","59,978","62,073","64,251","67,397","69,725"
"Y) June 22, 2023 - Pay Line Adjustment","60,278","62,383","64,572","67,734","70,074"
"C) June 22, 2024","61,484","63,631","65,863","69,089","71,475"
"Z) June 22, 2024 - Wage Adjustment","61,638","63,790","66,028","69,262","71,654"
"D) June 22, 2025","62,871","65,066","67,349","70,647","73,087"

# SPS-ESS-02: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","62,168","63,675","65,905","68,898","71,275"
"A) June 22, 2022","64,344","65,904","68,212","71,309","73,770"
"X) June 22, 2022 - Wage Adjustment","65,148","66,728","69,065","72,200","74,692"
"B) June 22, 2023","67,102","68,730","71,137","74,366","76,933"
"Y) June 22, 2023 - Pay Line Adjustment","67,438","69,074","71,493","74,738","77,318"
"C) June 22, 2024","68,787","70,455","72,923","76,233","78,864"
"Z) June 22, 2024 - Wage Adjustment","68,959","70,631","73,105","76,424","79,061"
"D) June 22, 2025","70,338","72,044","74,567","77,952","80,642"

# SPS-ESS-03: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","68,666","70,623","72,581","75,105","77,696"
"A) June 22, 2022","71,069","73,095","75,121","77,734","80,415"
"X) June 22, 2022 - Wage Adjustment","71,957","74,009","76,060","78,706","81,420"
"B) June 22, 2023","74,116","76,229","78,342","81,067","83,863"
"Y) June 22, 2023 - Pay Line Adjustment","74,487","76,610","78,734","81,472","84,282"
"C) June 22, 2024","75,977","78,142","80,309","83,101","85,968"
"Z) June 22, 2024 - Wage Adjustment","76,167","78,337","80,510","83,309","86,183"
"D) June 22, 2025","77,690","79,904","82,120","84,975","87,907"

# SPS-ESS-04: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","74,122","76,658","79,309","82,916","85,778"
"A) June 22, 2022","76,716","79,341","82,085","85,818","88,780"
"X) June 22, 2022 - Wage Adjustment","77,675","80,333","83,111","86,891","89,890"
"B) June 22, 2023","80,005","82,743","85,604","89,498","92,587"
"Y) June 22, 2023 - Pay Line Adjustment","80,405","83,157","86,032","89,945","93,050"
"C) June 22, 2024","82,013","84,820","87,753","91,744","94,911"
"Z) June 22, 2024 - Wage Adjustment","82,218","85,032","87,972","91,973","95,148"
"D) June 22, 2025","83,862","86,733","89,731","93,812","97,051"

# SPS-ESS-05: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","88,618","91,323","94,307","98,600","101,999"
"A) June 22, 2022","91,720","94,519","97,608","102,051","105,569"
"X) June 22, 2022 - Wage Adjustment","92,867","95,700","98,828","103,327","106,889"
"B) June 22, 2023","95,653","98,571","101,793","106,427","110,096"
"Y) June 22, 2023 - Pay Line Adjustment","96,131","99,064","102,302","106,959","110,646"
"C) June 22, 2024","98,054","101,045","104,348","109,098","112,859"
"Z) June 22, 2024 - Wage Adjustment","98,299","101,298","104,609","109,371","113,141"
"D) June 22, 2025","100,265","103,324","106,701","111,558","115,404"

# SPS-ESS-06: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","100,121","103,629","107,357","112,241","116,116"
"A) June 22, 2022","103,625","107,256","111,114",116169,"120,180"
"X) June 22, 2022 - Wage Adjustment","104,920","108,597","112,503","117,621","121,682"
"B) June 22, 2023","108,068","111,855","115,878","121,150","125,332"
"Y) June 22, 2023 - Pay Line Adjustment","108,608","112,414","116,457","121,756","125,959"
"C) June 22, 2024","110,780","114,662","118,786","124,191","128,478"
"Z) June 22, 2024 - Wage Adjustment","111,057","114,949","119,083","124,501","128,799"
"D) June 22, 2025","113,278","117,248","121,465","126,991","131,375"

# SPS-ESS-07: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","113,124","116,540","120,071","125,538","129,869"
"A) June 22, 2022","117,083","120,619","124,273","129,932","134,414"
"X) June 22, 2022 - Wage Adjustment","118,547","122,127","125,826","131,556","136,094"
"B) June 22, 2023","122,103","125,791","129,601","135,503","140,177"
"Y) June 22, 2023 - Pay Line Adjustment","122,714","126,420","130,249","136,181","140,878"
"C) June 22, 2024","125,168","128,948","132,854","138,905","143,696"
"Z) June 22, 2024 - Wage Adjustment","125,481","129,270","133,186","139,252","144,055"
"D) June 22, 2025","127,991","131,855","135,850","142,037","146,936"

# SPS-ESS-08: Annual Rates of Pay (in dollars)
# Section: Appendix N Updated November 2025
Effective date,Step 1,Step 2,Step 3,Step 4,Step 5
"$) June 22, 2021","122,991","126,397","129,972","135,882","140,571"
"A) June 22, 2022","127,296","130,821","134,521","140,638","145,491"
"X) June 22 , 2022 - Wage Adjustment","128,887","132,456","136,203","142,396","147,310"
"B) June 22, 2023","132,754","136,430","140,289","146,668","151,729"
"Y) June 22, 2023 - Pay Line Adjustment","133,418","137,112","140,990","147,401","152,488"
"C) June 22, 2024","136,086","139,854","143,810","150,349","155,538"
"Z) June 22, 2024 - Wage Adjustment","136,426","140,204","144,170","150,725","155,927"
"D) June 22, 2025","139,155","143,008","147,053","153,740","159,046"

